timestamp,type_id,rank_index,wideband_cqi_cw0,wideband_cqi_cw1,single_wb_pmi,single_mb_pmi,carrier_index
2024-08-09 11:30:20.363078,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,PCC
2024-08-09 11:30:20.363078,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.373083,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,PCC
2024-08-09 11:30:20.373083,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.383078,LTE_PHY_PUSCH_CSF,Rank 1,10,0,0,0,PCC
2024-08-09 11:30:20.383078,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.393085,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,PCC
2024-08-09 11:30:20.393085,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.403082,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.403082,LTE_PHY_PUSCH_CSF,Rank 1,9,0,2,0,SCC-2
2024-08-09 11:30:20.412954,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.412954,LTE_PHY_PUSCH_CSF,Rank 1,3,0,2,0,SCC-2
2024-08-09 11:30:20.423078,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.423078,LTE_PHY_PUSCH_CSF,Rank 1,3,0,2,0,SCC-2
2024-08-09 11:30:20.433088,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.433088,LTE_PHY_PUSCH_CSF,Rank 1,3,0,2,0,SCC-2
2024-08-09 11:30:20.443079,LTE_PHY_PUSCH_CSF,Rank 1,12,0,0,0,PCC
2024-08-09 11:30:20.443079,LTE_PHY_PUSCH_CSF,Rank 1,5,0,2,0,SCC-2
2024-08-09 11:30:20.453079,LTE_PHY_PUSCH_CSF,Rank 1,13,0,0,0,PCC
2024-08-09 11:30:20.453079,LTE_PHY_PUSCH_CSF,Rank 1,6,0,2,0,SCC-2
2024-08-09 11:30:20.463083,LTE_PHY_PUSCH_CSF,Rank 2,8,6,0,0,PCC
2024-08-09 11:30:20.463083,LTE_PHY_PUSCH_CSF,Rank 1,7,0,2,0,SCC-2
2024-08-09 11:30:20.473083,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,PCC
2024-08-09 11:30:20.473083,LTE_PHY_PUSCH_CSF,Rank 1,8,0,2,0,SCC-2
