timestamp,type_id,e_arfcn,num_cells,pci,serv_cell_index,rsrp,rsrq,rssi,ftl_snr_0,ftl_snr_1,cinr_rx_0,cinr_rx_1,projected_sir,post_ic_rsrq
2024-08-09 11:30:20.022733,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-98.875,-13.25,-67.4375,14.199999809265137,4.599999904632568,1278,4294966656,-2,-9.1875
2024-08-09 11:30:20.022733,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.6875,-13.5,-56.8125,12.5,9.199999809265137,1229,848,-2,-12.6875
2024-08-09 11:30:20.029508,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.875,-13.1875,-67.25,16.700000762939453,6.900000095367432,1457,4294966738,-2,-9.875
2024-08-09 11:30:20.029508,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.75,-13.5,-56.75,9.199999809265137,6.599999904632568,1143,715,-2,-12.5625
2024-08-09 11:30:20.039546,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.8125,-13.125,-66.4375,15.300000190734863,7.300000190734863,1645,4294966814,-2,-9.3125
2024-08-09 11:30:20.039546,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.75,-13.5,-56.3125,10.5,9.0,1338,902,-2,-13.4375
2024-08-09 11:30:20.049574,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.75,-13.125,-66.0625,15.0,8.699999809265137,1711,4294966808,-2,-9.0
2024-08-09 11:30:20.049574,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-86.8125,-13.5,-56.1875,16.799999237060547,13.699999809265137,1478,1084,-2,-12.6875
2024-08-09 11:30:20.061626,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.75,-13.0,-67.1875,17.100000381469727,9.100000381469727,1922,4294966959,-2,-8.3125
2024-08-09 11:30:20.072674,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-98.6875,-12.9375,-67.9375,16.799999237060547,10.5,2100,4294967117,-2,-7.6875
2024-08-09 11:30:20.079457,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.6875,-12.875,-67.1875,12.600000381469727,8.800000190734863,2141,4294967187,-2,-8.125
2024-08-09 11:30:20.089482,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.75,-12.8125,-65.4375,10.300000190734863,8.800000190734863,2166,30,-2,-9.6875
2024-08-09 11:30:20.099460,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.8125,-12.75,-68.5,11.899999618530273,6.800000190734863,2116,176,-2,-8.3125
2024-08-09 11:30:20.112663,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-98.9375,-12.6875,-68.0625,10.100000381469727,4.800000190734863,2175,345,-2,-9.0625
2024-08-09 11:30:20.119480,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.0,-12.6875,-68.0625,12.300000190734863,7.699999809265137,2238,427,-2,-9.25
2024-08-09 11:30:20.129495,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.125,-12.625,-68.3125,17.299999237060547,14.300000190734863,2324,553,-2,-9.5625
2024-08-09 11:30:20.139158,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.1875,-12.625,-68.3125,14.800000190734863,11.699999809265137,2428,673,-2,-9.875
2024-08-09 11:30:20.152689,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-99.3125,-12.625,-66.625,13.0,7.199999809265137,2541,762,-2,-13.875
2024-08-09 11:30:20.159467,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.3125,-12.625,-67.5625,16.5,9.899999618530273,2597,788,-2,-9.8125
2024-08-09 11:30:20.169458,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.375,-12.5625,-66.5625,14.800000190734863,6.400000095367432,2622,703,-2,-10.3125
2024-08-09 11:30:20.179075,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.4375,-12.5,-67.3125,17.0,9.100000381469727,2702,661,-3,-9.8125
2024-08-09 11:30:20.192668,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-99.4375,-12.4375,-68.0625,12.199999809265137,3.799999952316284,2759,637,-3,-8.8125
2024-08-09 11:30:20.199476,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.4375,-12.4375,-66.875,15.899999618530273,9.600000381469727,2710,529,-3,-11.25
2024-08-09 11:30:20.209537,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.5,-12.375,-67.9375,19.5,16.899999618530273,2849,690,-3,-8.5
2024-08-09 11:30:20.219079,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.5,-12.375,-65.375,6.099999904632568,2.299999952316284,2848,788,-4,-9.25
2024-08-09 11:30:20.232710,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-99.5,-12.3125,-66.5,5.699999809265137,-0.30000001192092896,2297,265,-4,-9.25
2024-08-09 11:30:20.239510,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.5,-12.25,-64.3125,3.5,-1.899999976158142,2037,55,-4,-10.5625
2024-08-09 11:30:20.249532,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.4375,-12.3125,-61.1875,4.099999904632568,-2.700000047683716,1813,4294967270,-3,-13.3125
2024-08-09 11:30:20.260023,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-99.4375,-12.3125,-63.125,1.7000000476837158,-2.5999999046325684,1229,4294966641,-3,-13.3125
2024-08-09 11:30:20.322708,LTE_PHY_Serv_Cell_Measurement,100,2,351,PCell,-98.9375,-12.3125,-63.25,11.899999618530273,14.100000381469727,1989,749,-3,-12.6875
2024-08-09 11:30:20.322708,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-87.6875,-14.4375,-53.9375,-4.800000190734863,-4.400000095367432,4294966158,4294965960,-3,-16.75
2024-08-09 11:30:20.329574,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.875,-12.3125,-63.6875,15.600000381469727,17.200000762939453,2147,992,-3,-12.6875
2024-08-09 11:30:20.329574,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-87.6875,-14.4375,-54.25,-4.800000190734863,-5.199999809265137,4294966134,4294965916,-3,-16.5625
2024-08-09 11:30:20.339566,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.8125,-12.375,-61.4375,2.200000047683716,-3.0999999046325684,2098,1118,-3,-13.75
2024-08-09 11:30:20.339566,LTE_PHY_Serv_Cell_Measurement,9360,1,449,2_SCell,-87.6875,-14.5,-53.6875,-4.0,-4.400000095367432,4294966121,4294965901,-3,-16.8125
2024-08-09 11:30:20.349592,LTE_PHY_Serv_Cell_Measurement,100,1,351,PCell,-98.6875,-12.375,-61.25,0.8999999761581421,-4.0,1420,131,-3,-13.8125
