timestamp,type_id,cell_id,ssb_or_trs,carrier_index,ftl_snr_raw_0,ftl_snr_0,ftl_snr_raw_1,ftl_snr_1,ftl_snr_raw_2,ftl_snr_2,ftl_snr_raw_3,ftl_snr_3
2024-08-09 11:02:12.280918,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1466,1.56,626,-2.17,1069,0.19,2182,3.28
2024-08-09 11:02:12.520913,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1548,1.80,728,-1.50,1077,0.22,2225,3.36
2024-08-09 11:02:12.552739,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1560,1.83,575,-2.55,1936,2.76,1802,2.45
2024-08-09 11:02:12.552741,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1803,2.45,456,-3.60,2407,3.70,1780,2.40
2024-08-09 11:02:12.572739,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1491,1.63,705,-1.64,992,-0.14,2044,2.99
2024-08-09 11:02:12.572740,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1455,1.53,624,-2.18,1988,2.87,1666,2.11
2024-08-09 11:02:12.600911,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1437,1.47,516,-3.04,2080,3.07,1649,2.07
2024-08-09 11:02:12.600913,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1477,1.59,681,-1.80,973,-0.22,1960,2.81
2024-08-09 11:02:12.632737,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1688,2.17,715,-1.58,2002,2.91,1819,2.49
2024-08-09 11:02:12.632739,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1485,1.62,616,-2.24,1867,2.60,1758,2.34
2024-08-09 11:02:12.652739,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1515,1.70,711,-1.60,1032,0.03,2137,3.19
2024-08-09 11:02:12.652740,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1942,2.77,749,-1.37,2206,3.32,1922,2.73
2024-08-09 11:02:12.680914,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1646,2.06,934,-0.40,1986,2.87,2139,3.19
2024-08-09 11:02:12.680922,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1503,1.67,697,-1.69,1002,-0.10,2079,3.07
2024-08-09 11:02:12.712740,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1524,1.73,579,-2.52,1821,2.50,1608,1.96
2024-08-09 11:02:12.712742,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1937,2.76,916,-0.49,2148,3.21,2115,3.14
2024-08-09 11:02:12.732739,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1648,2.07,738,-1.44,1105,0.33,2167,3.25
2024-08-09 11:02:12.732741,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1956,2.81,856,-0.79,2056,3.02,1873,2.62
2024-08-09 11:02:12.760910,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1730,2.28,935,-0.40,1981,2.86,2087,3.08
2024-08-09 11:02:12.760912,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1570,1.86,691,-1.73,1019,-0.02,2058,3.02
2024-08-09 11:02:12.792739,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1546,1.79,909,-0.52,1825,2.51,1787,2.42
2024-08-09 11:02:12.792740,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1587,1.90,559,-2.68,1771,2.38,1332,1.14
2024-08-09 11:02:12.812738,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1524,1.73,705,-1.64,1028,0.02,2117,3.15
2024-08-09 11:02:12.812740,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2003,2.91,940,-0.38,2381,3.65,2050,3.01
2024-08-09 11:02:12.892740,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1563,1.84,732,-1.48,1036,0.05,2168,3.25
2024-08-09 11:02:12.892742,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1030,0.02,528,-2.93,1777,2.39,1220,0.76
2024-08-09 11:02:12.920915,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1237,0.82,708,-1.62,2211,3.33,1708,2.22
2024-08-09 11:02:12.920917,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1641,2.05,720,-1.55,1085,0.25,2201,3.31
2024-08-09 11:02:12.952740,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1483,1.61,672,-1.86,2596,4.02,1477,1.59
2024-08-09 11:02:12.952742,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1494,1.64,906,-0.54,2651,4.11,1871,2.61
2024-08-09 11:02:12.972740,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1678,2.14,727,-1.51,1106,0.34,2308,3.52
2024-08-09 11:02:12.972742,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1488,1.62,766,-1.28,3330,5.09,1720,2.25
2024-08-09 11:02:13.000913,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1299,1.04,1007,-0.07,2990,4.63,2121,3.15
2024-08-09 11:02:13.000915,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1669,2.12,744,-1.40,1089,0.27,2312,3.52
2024-08-09 11:02:13.032740,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1404,1.37,880,-0.66,3242,4.97,1799,2.44
2024-08-09 11:02:13.032742,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1326,1.12,835,-0.90,3115,4.80,1922,2.73
